test_id,data_type,data_file_path,excel_data_sheet_name
TC_ID_0001,Excel,AllTestSuitesDataSet.xlsx,SigninData
TC_ID_0002,Excel,AllTestSuitesDataSet.xlsx,SigninData
TC_ID_0003,Excel,AllTestSuitesDataSet.xlsx,SigninData
TC_ID_0004,Excel,AllTestSuitesDataSet.xlsx,SigninData
TC_ID_0005,Excel,AllTestSuitesDataSet.xlsx,SigninData
TC_ID_0006,Excel,AllTestSuitesDataSet.xlsx,SigninData
TC_ID_0008,Excel,AllTestSuitesDataSet.xlsx,SigninData
TC_ID_0009,Excel,AllTestSuitesDataSet.xlsx,SigninData
TC_ID_0010,Excel,AllTestSuitesDataSet.xlsx,SigninData
TC_ID_0011,Excel,AllTestSuitesDataSet.xlsx,SigninData
TC_ID_0012,Excel,AllTestSuitesDataSet.xlsx,SigninData
TC_ID_0013,Excel,AllTestSuitesDataSet.xlsx,SigninData
TC_ID_0014,Excel,AllTestSuitesDataSet.xlsx,SigninData
TC_ID_0016,Excel,AllTestSuitesDataSet.xlsx,SigninData
TC_ID_0017,Excel,AllTestSuitesDataSet.xlsx,UL-359
TC_ID_0018,Excel,AllTestSuitesDataSet.xlsx,UL-361
TC_ID_0020,Excel,AllTestSuitesDataSet.xlsx,UL-368
TC_ID_0021,Excel,AllTestSuitesDataSet.xlsx,UL-370
TC_ID_0022,Excel,AllTestSuitesDataSet.xlsx,UL-373
TC_ID_0023,Excel,AllTestSuitesDataSet.xlsx,UL-374
TC_ID_0031,Excel,AllTestSuitesDataSet.xlsx,ResetPasswordData
TC_ID_0032,Excel,AllTestSuitesDataSet.xlsx,ResetPasswordData
TC_ID_0033,Excel,AllTestSuitesDataSet.xlsx,ResetPasswordData
TC_ID_0034,Excel,AllTestSuitesDataSet.xlsx,ResetPasswordData
TC_ID_0035,Excel,AllTestSuitesDataSet.xlsx,ResetPasswordData
TC_ID_0048,Excel,AllTestSuitesDataSet.xlsx,UL-322
TC_ID_0049,Excel,AllTestSuitesDataSet.xlsx,UL-323
TC_ID_0050,Excel,AllTestSuitesDataSet.xlsx,UL-324
TC_ID_0051,Excel,AllTestSuitesDataSet.xlsx,UL-325
TC_ID_0052,Excel,AllTestSuitesDataSet.xlsx,UL-326
TC_ID_0053,Excel,AllTestSuitesDataSet.xlsx,UL-327
TC_ID_0054,Excel,AllTestSuitesDataSet.xlsx,UL-328
TC_ID_0055,Excel,AllTestSuitesDataSet.xlsx,UL-329
TC_ID_0056,Excel,AllTestSuitesDataSet.xlsx,UL-596
TC_ID_0024,Excel,AllTestSuitesDataSet.xlsx,UL-335
TC_ID_0025,Excel,AllTestSuitesDataSet.xlsx,UL-482
TC_ID_0026,Excel,AllTestSuitesDataSet.xlsx,UL-483
TC_ID_0027,Excel,AllTestSuitesDataSet.xlsx,UL-484
TC_ID_0028,Excel,AllTestSuitesDataSet.xlsx,UL-668
TC_ID_0068,Excel,AllTestSuitesDataSet.xlsx,LogOutData
TC_ID_0069,Excel,AllTestSuitesDataSet.xlsx,LogOutData
TC_ID_0071,Excel,AllTestSuitesDataSet.xlsx,LogOutData
TC_ID_0072,Excel,AllTestSuitesDataSet.xlsx,LogOutData
TC_ID_0073,Excel,AllTestSuitesDataSet.xlsx,LogOutData
TC_ID_0074,Excel,AllTestSuitesDataSet.xlsx,LogOutData
TC_ID_0100,Excel,AllTestSuitesDataSet.xlsx,ImportFileData
TC_ID_0102,Excel,AllTestSuitesDataSet.xlsx,PrivacyPolicyData
TC_ID_0114,Excel,AllTestSuitesDataSet.xlsx,LogOutData
TC_ID_0180,Excel,AllTestSuitesDataSet.xlsx,HelpLinks
TC_ID_0181,Excel,AllTestSuitesDataSet.xlsx,HelpLinks
TC_ID_0200,Excel,AllTestSuitesDataSet.xlsx,LogOutData
TC_ID_0202,Excel,AllTestSuitesDataSet.xlsx,LogOutData
TC_ID_0203,Excel,AllTestSuitesDataSet.xlsx,LogOutData
