test_id,test_jira_id
TC_ID_0001,UL-1176
TC_ID_0002,UL-1177
TC_ID_0003,UL-1018
TC_ID_0004,UL-1019
TC_ID_0005,UL-1020
TC_ID_0006,UL-1027
TC_ID_0007,UL-1028
TC_ID_0008,UL-1031
TC_ID_0009,UL-1032
TC_ID_0010,UL-989
TC_ID_0011,UL-990
TC_ID_0012,UL-991
TC_ID_0013,UL-992
TC_ID_0014,UL-993
TC_ID_0015,UL-994
TC_ID_0016,UL-995
TC_ID_0017,UL-998
TC_ID_0018,UL-1652
TC_ID_0019,UL-1653
TC_ID_0020,UL-1654
TC_ID_0021,UL-1655
TC_ID_0022,UL-1656
TC_ID_0023,UL-1657
TC_ID_0024,UL-1658
TC_ID_0025,UL-1659
TC_ID_0026,UL-1669
TC_ID_0027,UL-1670
TC_ID_0028,UL-1671
TC_ID_0029,UL-1672
TC_ID_0030,UL-1673
TC_ID_0031,UL-1674
TC_ID_0032,UL-1675
TC_ID_0033,UL-1676
TC_ID_0034,UL-1619
TC_ID_0035,UL-1620
TC_ID_0036,UL-1621
TC_ID_0037,UL-1622
TC_ID_0038,UL-1183
TC_ID_0039,UL-1184
TC_ID_0040,UL-1185
TC_ID_0041,UL-1186
TC_ID_0042,UL-1187
TC_ID_0043,UL-1188
TC_ID_0044,UL-1189
TC_ID_0045,UL-1190
TC_ID_0046,UL-1940
TC_ID_0047,UL-1941
TC_ID_0048,UL-1942
TC_ID_0049,UL-1943
TC_ID_0050,UL-1944
TC_ID_0051,UL-1957
TC_ID_0052,UL-1974
TC_ID_0053,UL-1975
TC_ID_0054,UL-1977
TC_ID_0055,UL-1978
TC_ID_0056,UL-1976
TC_ID_0057,UL-1988
TC_ID_0058,UL-379
TC_ID_0059,UL-381
TC_ID_0060,UL-383
TC_ID_0061,UL-384
TC_ID_0062,UL-377
